Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2000,2000,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2001,2001,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2002,2002,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2003,2003,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2004,2004,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2005,2005,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2006,2006,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2007,2007,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2008,2008,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2009,2009,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2010,2010,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2011,2011,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2012,2012,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2013,2013,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2014,2014,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2015,2015,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2016,2016,LSU/ha,0.1,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2017,2017,LSU/ha,0.09,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2018,2018,LSU/ha,0.09,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2019,2019,LSU/ha,0.09,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2020,2020,LSU/ha,0.09,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2021,2021,LSU/ha,0.09,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2022,2022,LSU/ha,0.09,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2000,2000,%LSU,64,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2001,2001,%LSU,63.24,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2002,2002,%LSU,64.22,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2003,2003,%LSU,64.35,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2004,2004,%LSU,64.47,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2005,2005,%LSU,66.02,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2006,2006,%LSU,65.48,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2007,2007,%LSU,65.42,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2008,2008,%LSU,63.99,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2009,2009,%LSU,63.29,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2010,2010,%LSU,63,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2011,2011,%LSU,62.92,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2012,2012,%LSU,63.23,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2013,2013,%LSU,64.78,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2014,2014,%LSU,65.11,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2015,2015,%LSU,64.85,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2016,2016,%LSU,64.67,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2017,2017,%LSU,64.11,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2018,2018,%LSU,63.77,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2019,2019,%LSU,63.6,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2020,2020,%LSU,63.48,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2021,2021,%LSU,63.46,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2111,Cattle,2022,2022,%LSU,63.42,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2000,2000,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2001,2001,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2002,2002,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2003,2003,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2004,2004,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2005,2005,LSU/ha,0.01,E,Estimated value
