-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2000 through 12/31/2024 in LST,,,,,,,,,,,,,,
Location: Latitude  -32.6077   Longitude 25.3699 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1033.31 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) ,,,,,,,,,,,,,,
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,
T2M_MAX             MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,,,
T2M_RANGE           MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2000,5.17,4.62,5.48,2.43,0.51,0.3,0.14,0.38,3.45,1.51,5.33,1.08,2.52
PRECTOTCORR,2001,3.24,1.88,2.14,3.32,0.13,0.26,0.96,1.92,1.73,1.59,8.41,4.08,2.47
PRECTOTCORR,2002,4.43,1.64,3.26,2.39,0.72,0.78,2.14,3.11,3.36,0.82,2.73,2.99,2.37
PRECTOTCORR,2003,2.28,2.47,4.38,0.76,0.69,0.57,0.26,0.76,1.07,1.99,2.69,2.74,1.72
PRECTOTCORR,2004,4,2.79,4.15,2.43,0.48,0.49,0.86,0.36,3.5,0.86,1.22,4.11,2.1
PRECTOTCORR,2005,4.68,3.58,2.9,2.29,1.72,0.61,0.12,1.52,0.52,1.3,3.99,0.74,1.99
PRECTOTCORR,2006,5.06,4.51,1.9,2.53,2.54,0.5,0.19,4.17,1.17,5,1.28,2.3,2.59
PRECTOTCORR,2007,1.61,1.73,3.08,1.36,0.49,0.34,0.36,0.3,0.29,2.49,1.28,4.15,1.46
