-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2000 through 12/31/2022 in LST,,,,,,,,,,,,,,,,
Location: Regional ,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,-22.5,16.5,29.29,23.59,23.37,21.46,18.58,17.12,17.76,21.96,26.55,25.55,30.82,29.29,23.78
ALLSKY_SFC_SW_DWN,2000,-22.5,17.5,28.66,22.46,22.5,20.93,18.39,16.59,18.04,21.94,26.28,25.56,29.88,28.38,23.3
ALLSKY_SFC_SW_DWN,2000,-22.5,18.5,27.9,22.5,22.49,20.75,18.38,16.5,18.29,21.38,26.26,25.48,30.31,27.53,23.15
ALLSKY_SFC_SW_DWN,2000,-22.5,19.5,26.7,21.88,21.82,20.13,18.43,16.15,17.89,21.45,25.12,26.14,29.17,27.33,22.69
ALLSKY_SFC_SW_DWN,2000,-22.5,20.5,26.57,20.76,21.42,20.01,18.65,16.11,17.1,20.98,23.81,26.08,28.25,27.57,22.29
ALLSKY_SFC_SW_DWN,2000,-22.5,21.5,26.48,20.64,21.05,20.5,18.82,15.89,17.58,21.29,23.71,26.98,28.94,28.53,22.55
ALLSKY_SFC_SW_DWN,2000,-22.5,22.5,25.81,20.93,20.42,20.1,18.33,14.9,16.83,21.26,24.14,26.52,28.21,27.52,22.09
ALLSKY_SFC_SW_DWN,2000,-22.5,23.5,24.4,21.28,20.53,20.33,18.07,14.43,17.21,17.73,23.87,25.64,27.77,27.12,21.53
ALLSKY_SFC_SW_DWN,2000,-22.5,24.5,24.03,21.46,20.58,20.11,18.24,14.37,17.73,17.92,22.7,25.6,26.54,27.03,21.36
ALLSKY_SFC_SW_DWN,2000,-22.5,25.5,23.97,20.85,20.61,19.1,18.14,14.05,17.28,18.3,22.64,24.76,26.72,26.91,21.12
ALLSKY_SFC_SW_DWN,2000,-22.5,26.5,22.93,19.34,19.4,16.73,17.35,13.18,16.23,20.49,21.31,23.13,25.89,25.12,20.1
ALLSKY_SFC_SW_DWN,2000,-23.5,16.5,30.07,25,23.32,21.52,18.5,16.8,16.88,21.49,25.96,26.32,31.41,30.88,24.01
ALLSKY_SFC_SW_DWN,2000,-23.5,17.5,29.36,24.73,23.3,21.36,18.19,16.4,17.1,21.41,25.35,26.15,30.48,30.34,23.68
ALLSKY_SFC_SW_DWN,2000,-23.5,18.5,28.98,24.74,22.52,21.19,18.15,16.19,17.66,21.17,23.74,26.1,30.18,29.87,23.37
ALLSKY_SFC_SW_DWN,2000,-23.5,19.5,28.61,24.1,22.13,21.12,18.37,16,18.48,21.69,24.44,27.28,30.88,29.59,23.56
ALLSKY_SFC_SW_DWN,2000,-23.5,20.5,27.99,22.61,22.15,20.93,18.53,16.35,16.92,20.73,24.1,26.48,29.36,29.03,22.94
ALLSKY_SFC_SW_DWN,2000,-23.5,21.5,27.18,21.64,21.83,20.54,18.44,16.32,17.38,21.12,24.35,27.12,28.93,28.39,22.78
ALLSKY_SFC_SW_DWN,2000,-23.5,22.5,26.2,21.24,21.38,19.67,17.95,15.41,17.18,21.47,24.36,26.97,28.7,28.61,22.44
ALLSKY_SFC_SW_DWN,2000,-23.5,23.5,25.95,21.28,20.92,19.51,17.85,14.87,17.29,19.39,24.46,26.04,27.82,27.15,21.88
ALLSKY_SFC_SW_DWN,2000,-23.5,24.5,24.52,20.65,20.71,18.99,17.78,14.42,17.06,18.3,24.52,25.79,26.49,26.41,21.31
ALLSKY_SFC_SW_DWN,2000,-23.5,25.5,23.92,20.4,20.07,18.07,17.47,13.71,16.87,17.92,24.34,24.72,26.49,26.29,20.86
ALLSKY_SFC_SW_DWN,2000,-23.5,26.5,23.15,20.11,19.19,16.54,17.01,12.68,16.48,19.82,21.94,23.76,25.21,25.2,20.1
ALLSKY_SFC_SW_DWN,2000,-24.5,16.5,30.33,25.56,23.69,21.51,18.37,16.16,17.35,19.79,24.47,25.49,31.85,31.38,23.82
ALLSKY_SFC_SW_DWN,2000,-24.5,17.5,29.62,25.46,23.34,21.31,17.81,15.9,16.97,22.02,25.7,24.42,31.03,30.84,23.69
ALLSKY_SFC_SW_DWN,2000,-24.5,18.5,29.54,25.2,22.6,21.16,17.98,15.74,17.19,20.17,23.49,26.64,30.79,31.19,23.47
ALLSKY_SFC_SW_DWN,2000,-24.5,19.5,28.24,25.66,22.73,21.53,18.53,16.42,16.82,20.9,24.75,27.26,30.77,31.08,23.72
ALLSKY_SFC_SW_DWN,2000,-24.5,20.5,28.01,24.96,23.21,21.94,18.51,16.1,16.45,20.51,24.34,27.29,30.01,29.24,23.38
ALLSKY_SFC_SW_DWN,2000,-24.5,21.5,28.26,23.4,22.56,20.69,18.23,15.82,15.85,20.41,23.67,26.29,29.11,28.69,22.75
ALLSKY_SFC_SW_DWN,2000,-24.5,22.5,26.86,22.87,21.65,19.81,17.55,15.6,16.4,20.8,23.51,26.52,29.18,29.09,22.49
ALLSKY_SFC_SW_DWN,2000,-24.5,23.5,26.01,21.83,21.04,19.06,17.59,15.33,16.88,21.07,24.55,26.35,27.73,28.44,22.16
ALLSKY_SFC_SW_DWN,2000,-24.5,24.5,25.07,21.12,20.18,18.44,17.17,14.23,16.48,18.98,24.78,25.71,26.97,26.9,21.34
ALLSKY_SFC_SW_DWN,2000,-24.5,25.5,23.71,20.37,19.19,16.87,16.83,13.17,16.13,18.88,22.3,23.08,26.33,25.41,20.19
ALLSKY_SFC_SW_DWN,2000,-24.5,26.5,23.05,20.55,19.11,16.16,16.39,12.4,15.92,19.96,19.23,23.21,25.46,25.58,19.76
ALLSKY_SFC_SW_DWN,2001,-22.5,16.5,28.01,26.26,23.61,18.79,18.43,16.14,17.46,20.26,24.05,27.79,29.95,31.83,23.54
ALLSKY_SFC_SW_DWN,2001,-22.5,17.5,27.54,25.31,22.89,17.67,18.14,15.91,17.36,19.84,23.86,27.55,28.51,31.47,23
