year,prectotcorr_ann,prectotcorr_sum,qv2m_ann,rh2m_ann,t2m_max_ann,t2m_range_ann
2000,2.52,921.5300000000001,7.599999999999999,65.13,36.94,14.449999999999998
2001,2.47,900.25,7.47,63.21,41.44,14.839999999999998
2002,2.37,865.18,7.16,62.5,37.97,14.96
2003,1.72,628.11,6.919999999999999,58.37,38.71,15.49
2004,2.1,769.4500000000002,7.599999999999999,62.06,39.91,15.21
2005,1.99,725.08,7.27,61.97,37.75,15.13
2006,2.59,946.63,7.669999999999999,66.73,38.28,14.33
2007,1.46,533.13,6.82,56.91,40.42,15.71
2008,1.59,581.72,7.27,60.52,37.83,15.33
2009,1.3500000000000003,493.01,6.989999999999999,58.66,40.06,15.37
2010,1.49,544.58,7.14,57.54999999999999,39.29,15.65
2011,2.16,789.62,7.54,66.42,39.04,14.300000000000002
2012,2.0,733.75,7.28,64.07,39.56,14.83
2013,1.3999999999999997,510.2,6.54,57.12,38.73,15.76
2014,1.72,627.92,7.34,61.03,38.48,15.21
2015,1.25,457.69,7.150000000000001,60.580000000000005,40.44,15.42
2016,1.07,390.8999999999999,6.87,56.99,41.9,16.0
2017,1.25,458.12999999999994,6.61,56.04999999999999,38.79,16.08
2018,1.09,397.73,6.68,56.60999999999999,40.58,15.93
2019,0.7200000000000001,262.95,6.37,51.49,40.92,16.68
2020,1.6499999999999997,602.15,7.04,57.91,39.74,15.58
2021,1.46,531.71,6.830000000000001,57.22,39.65,15.449999999999998
2022,1.83,669.52,7.75,63.79999999999999,38.34,14.5
2023,1.87,682.5,7.22,61.46,41.45,15.12
2024,1.36,497.46,7.03,58.16,40.3,15.699999999999998
