year,month,prectotcorr,prectotcorr_sum,qv2m,rh2m,t2m_max,t2m_range,date
2000,1,5.17,160.29,10.0,68.89,34.37,13.65,2000-01-01
2000,2,4.62,134.0,11.71,72.75,34.43,13.66,2000-02-01
2000,3,5.48,169.86,11.47,79.57,31.04,11.47,2000-03-01
2000,4,2.43,72.8,8.24,74.74,28.15,12.61,2000-04-01
2000,5,0.51,15.96,5.98,70.42,23.62,12.87,2000-05-01
2000,6,0.3,9.11,4.78,57.04,23.8,14.76,2000-06-01
2000,7,0.14,4.38,4.09,53.56,23.14,14.38,2000-07-01
2000,8,0.38,11.82,5.16,55.15,27.94,16.01,2000-08-01
2000,9,3.45,103.4,5.26,57.38,29.7,15.29,2000-09-01
2000,10,1.51,46.68,7.11,61.35,34.45,16.25,2000-10-01
2000,11,5.33,159.81,8.67,69.85,35.22,15.39,2000-11-01
2000,12,1.08,33.42,8.86,61.32,36.94,17.07,2000-12-01
2001,1,3.24,100.49,8.84,60.23,41.44,17.66,2001-01-01
2001,2,1.88,52.61,9.27,58.73,36.97,16.95,2001-02-01
2001,3,2.14,66.36,9.1,60.06,35.89,16.62,2001-03-01
2001,4,3.32,99.72,8.61,73.66,28.54,12.35,2001-04-01
2001,5,0.13,3.98,5.86,58.16,26.79,13.74,2001-05-01
2001,6,0.26,7.91,4.9,58.83,24.02,14.44,2001-06-01
2001,7,0.96,29.82,4.45,60.86,23.29,13.92,2001-07-01
2001,8,1.92,59.45,4.8,57.85,25.76,14.24,2001-08-01
2001,9,1.73,51.96,6.06,63.08,32.65,14.63,2001-09-01
2001,10,1.59,49.21,7.87,61.16,33.98,15.76,2001-10-01
2001,11,8.41,252.32,9.78,73.47,34.19,13.52,2001-11-01
2001,12,4.08,126.42,10.26,72.54,33.29,14.26,2001-12-01
2002,1,4.43,137.4,9.95,65.56,37.97,15.94,2002-01-01
2002,2,1.64,45.8,9.0,60.72,35.98,16.63,2002-02-01
2002,3,3.26,100.96,9.42,61.68,34.53,15.78,2002-03-01
2002,4,2.39,71.55,7.25,58.35,33.71,14.83,2002-04-01
2002,5,0.72,22.27,5.15,58.03,27.82,13.82,2002-05-01
2002,6,0.78,23.34,4.45,64.53,22.4,13.42,2002-06-01
2002,7,2.14,66.4,4.59,64.47,21.5,12.38,2002-07-01
2002,8,3.11,96.48,5.76,68.32,25.88,12.99,2002-08-01
2002,9,3.36,100.75,7.15,71.82,28.2,13.22,2002-09-01
2002,10,0.82,25.46,6.77,58.25,35.41,17.61,2002-10-01
2002,11,2.73,81.93,6.57,55.94,36.31,17.12,2002-11-01
2002,12,2.99,92.84,9.88,62.22,36.29,15.96,2002-12-01
2003,1,2.28,70.73,9.52,59.41,37.7,17.55,2003-01-01
2003,2,2.47,69.21,10.55,59.27,37.95,16.79,2003-02-01
2003,3,4.38,135.63,8.74,61.87,38.71,15.33,2003-03-01
2003,4,0.76,22.85,7.99,60.74,32.47,14.26,2003-04-01
2003,5,0.69,21.47,6.08,64.29,26.86,13.07,2003-05-01
2003,6,0.57,17.02,4.41,58.57,22.59,13.22,2003-06-01
2003,7,0.26,8.12,3.84,52.74,24.93,14.78,2003-07-01
2003,8,0.76,23.67,3.94,53.94,28.97,14.59,2003-08-01
2003,9,1.07,32.2,5.48,57.58,32.37,15.08,2003-09-01
2003,10,1.99,61.54,6.62,55.18,35.22,17.03,2003-10-01
2003,11,2.69,80.76,8.14,59.22,36.56,16.61,2003-11-01
2003,12,2.74,84.91,8.07,57.76,38.27,17.55,2003-12-01
2004,1,4.0,123.94,10.91,66.65,36.57,15.67,2004-01-01
