domain code,domain,area code (m49),district,element code,element,item code (cpc),item,year code,year,unit,value,flag,flag description,date,prectotcorr_ann,prectotcorr_sum,qv2m_ann,rh2m_ann,t2m_max_ann,t2m_range_ann
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2000,2000,LSU/ha,0.1,E,Estimated value,2000-01-01,2.52,921.53,7.599999999999999,65.13,36.94,14.449999999999998
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2001,2001,LSU/ha,0.1,E,Estimated value,2001-01-01,2.47,900.25,7.47,63.21,41.44,14.839999999999998
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2002,2002,LSU/ha,0.1,E,Estimated value,2002-01-01,2.37,865.18,7.16,62.5,37.97,14.96
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2003,2003,LSU/ha,0.1,E,Estimated value,2003-01-01,1.72,628.11,6.919999999999999,58.37,38.71,15.49
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2004,2004,LSU/ha,0.1,E,Estimated value,2004-01-01,2.1,769.4500000000002,7.599999999999999,62.06,39.91,15.21
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2005,2005,LSU/ha,0.1,E,Estimated value,2005-01-01,1.99,725.08,7.27,61.97,37.75,15.13
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2006,2006,LSU/ha,0.1,E,Estimated value,2006-01-01,2.59,946.63,7.669999999999999,66.73,38.28,14.33
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2007,2007,LSU/ha,0.1,E,Estimated value,2007-01-01,1.46,533.13,6.82,56.91,40.42,15.71
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2008,2008,LSU/ha,0.1,E,Estimated value,2008-01-01,1.59,581.72,7.27,60.52,37.83,15.33
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2009,2009,LSU/ha,0.1,E,Estimated value,2009-01-01,1.3500000000000003,493.01,6.989999999999999,58.66,40.06,15.37
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2010,2010,LSU/ha,0.1,E,Estimated value,2010-01-01,1.49,544.58,7.14,57.54999999999999,39.29,15.65
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2111,Cattle,2011,2011,LSU/ha,0.1,E,Estimated value,2011-01-01,2.16,789.62,7.54,66.42,39.04,14.300000000000002
