plot no.,s,e,p mg/l,k (mg/l),ca (mg/l),mg (mg/l),exch.acidity (cmol/l),total cations (cmol/l),acidity sat. %,ph(kcl),zn (mg/l),mn (mg/l),cu (mg/l),unnamed: 12,plot no..1,organic c. (%),n (%),clay (%)
TSPLOT 01,-28.57467778,28.89426111,,,,,,,,,,,,,,,,
TSPLOT 02,-28.67843333,28.84252778,,,,,,,,,,,,,,,,
TSPLOT 03,-28.67570556,28.84816667,,,,,,,,,,,,,,,,
TSPLOT 04,-28.65208056,28.83681667,,,,,,,,,,,,,,,,
TSPLOT 05,-28.6558,28.83514722,,,,,,,,,,,,,,,,
TSPLOT 06,-28.6424,28.83442778,,,,,,,,,,,,,,,,
TSPLOT 07,-28.648775,28.82871667,,,,,,,,,,,,,,,,
TSPLOT 08,-28.65738056,28.82570278,,,,,,,,,,,,,,,,
TSPLOT 09,-28.66584167,28.82162222,,,,,,,,,,,,,,,,
TSPLOT 10,-28.67306667,28.816825,,,,,,,,,,,,,,,,
TSPLOT 11,-28.67000278,28.827875,,,,,,,,,,,,,,,,
TSPLOT 12,-28.66611111,28.83373889,,,,,,,,,,,,,,,,
TSPLOT 13,-28.67015556,28.84322778,,,,,,,,,,,,,,,,
TSPLOT 14,-28.67524444,28.84362222,,,,,,,,,,,,,,,,
TSPLOT 15,-28.67561111,28.83904722,,,,,,,,,,,,,,,,
TSPLOT 16,-28.66803889,28.84072778,,,,,,,,,,,,,,,,
TSPLOT 17,-28.66646111,28.85803611,,,,,,,,,,,,,,,,
TSPLOT 18,-28.55922222,28.87216111,,,,,,,,,,,,,,,,
TSPLOT 19,-28.56991111,28.87885278,,,,,,,,,,,,,,,,
TSPLOT 20,-28.56331944,28.8747,,,,,,,,,,,,,,,,
TSPLOT 21,-28.57789722,28.9009,,,,,,,,,,,,,,,,
TSPLOT 22,-28.58187778,28.90394722,,,,,,,,,,,,,,,,
TSPLOT 23,-28.58683333,28.90324444,,,,,,,,,,,,,,,,
TSPLOT 24,-28.59141111,28.90369167,,,,,,,,,,,,,,,,
TSPLOT 25,-28.59255278,28.90943889,,,,,,,,,,,,,,,,
TSPLOT 26,-28.59179167,28.91385833,,,,,,,,,,,,,,,,
TSPLOT 27,-28.58006389,28.88791389,,,,,,,,,,,,,,,,
TSPLOT 28,-28.57943333,28.88278889,,,,,,,,,,,,,,,,
TSPLOT 29,-28.58403889,28.88420278,,,,,,,,,,,,,,,,
TSPLOT 30,-28.58824167,28.88614722,,,,,,,,,,,,,,,,
TSPLOT 31,-28.59006389,28.89086667,,,,,,,,,,,,,,,,
TSPLOT 32,-28.61216111,28.922925,,,,,,,,,,,,,,,,
TSPLOT 33,-28.6125,28.92633611,,,,,,,,,,,,,,,,
TSPLOT 34,-28.60935,28.92959167,,,,,,,,,,,,,,,,
TSPLOT 35,-28.61528056,28.923125,,,,,,,,,,,,,,,,
TSPLOT 36,-28.61633333,28.925125,,,,,,,,,,,,,,,,
TSPLOT 37,-28.61632778,28.91995833,,,,,,,,,,,,,,,,
TSPLOT 38,-28.6194,28.92284167,,,,,,,,,,,,,,,,
TSPLOT 39,-28.62300833,28.91926667,,,,,,,,,,,,,,,,
TSPLOT 40,-28.62585833,28.91634722,,,,,,,,,,,,,,,,
TSPLOT 41,-28.619325,28.90793333,,,,,,,,,,,,,,,,
TSPLOT 42,-28.63841111,28.84742778,,,,,,,,,,,,,,,,
TSPLOT 43,-28.64226667,28.84885278,,,,,,,,,,,,,,,,
TSPLOT 44,-28.65745278,28.86021667,,,,,,,,,,,,,,,,
TSPLOT 45,-28.66183056,28.86056111,,,,,,,,,,,,,,,,
TSPLOT 46,-28.66665556,28.86139167,,,,,,,,,,,,,,,,
TSPLOT 47,-28.66666667,28.86659167,,,,,,,,,,,,,,,,
TSPLOT 48,-28.67020278,28.86969444,,,,,,,,,,,,,,,,
TSPLOT 49,-28.66651944,28.87286111,,,,,,,,,,,,,,,,
TSPLOT 50,-28.66244167,28.86991667,,,,,,,,,,,,,,,,
TSPLOT 51,-28.58989722,28.94160556,,,,,,,,,,,,,,,,
TSPLOT 52,-28.59419167,28.94286389,,,,,,,,,,,,,,,,
TSPLOT 53,-28.59338056,28.926075,,,,,,,,,,,,,,,,
TSPLOT 54,-28.59603611,28.930525,,,,,,,,,,,,,,,,
TSPLOT 55,-28.59728611,28.93436667,,,,,,,,,,,,,,,,
TSPLOT 56,-28.5867,28.92296389,,,,,,,,,,,,,,,,
TSPLOT 57,-28.58666667,28.92831111,,,,,,,,,,,,,,,,
TSPLOT 58,-28.58236111,28.92333611,,,,,,,,,,,,,,,,
TSPLOT 59,-28.59418333,28.94287222,,,,,,,,,,,,,,,,
TSPLOT 60,-28.59829722,28.94578056,,,,,,,,,,,,,,,,
TSPLOT 61,-28.58536389,28.94151667,,,,,,,,,,,,,,,,
TSPLOT 62,-28.58086389,28.914525,,,,,,,,,,,,,,,,
TSPLOT 63,-28.57637778,28.914,,,,,,,,,,,,,,,,
TSPLOT 64,-28.65085,28.87020833,,,,,,,,,,,,,,,,
TSPLOT 65,-28.65421111,28.87265,,,,,,,,,,,,,,,,
TSPLOT 66,-28.65516667,28.87709167,,,,,,,,,,,,,,,,
TSPLOT 67,-28.65214167,28.87430833,,,,,,,,,,,,,,,,
TSPLOT 68,-28.64831111,28.87231111,,,,,,,,,,,,,,,,
TSPLOT 69,-28.65383333,28.87911389,,,,,,,,,,,,,,,,
TSPLOT 70,-28.65113611,28.88230556,,,,,,,,,,,,,,,,
TSPLOT 71,-28.66180833,28.88787222,,,,,,,,,,,,,,,,
TSPLOT 72,-28.66015556,28.89069444,,,,,,,,,,,,,,,,
TSPLOT 73,-28.65743333,28.89290556,,,,,,,,,,,,,,,,
TSPLOT 74,-28.66276667,28.88379722,,,,,,,,,,,,,,,,
TSPLOT 75,-28.66115278,28.87975278,,,,,,,,,,,,,,,,
